Delay (p1=1,p2=2.2) X,Delay (p1=1,p2=2.2) Y,Delay (p1=1,p2=1) X,Delay (p1=1,p2=1) Y,Delay (p1=1,p2=1.4) X,Delay (p1=1,p2=1.4) Y,Delay (p1=1,p2=1.8) X,Delay (p1=1,p2=1.8) Y,Delay (p1=1,p2=2.6) X,Delay (p1=1,p2=2.6) Y,Delay (p1=1,p2=3) X,Delay (p1=1,p2=3) Y,Delay (p1=1,p2=3.4) X,Delay (p1=1,p2=3.4) Y,Delay (p1=1,p2=3.8) X,Delay (p1=1,p2=3.8) Y,Delay (p1=1.4,p2=1) X,Delay (p1=1.4,p2=1) Y,Delay (p1=1.4,p2=1.4) X,Delay (p1=1.4,p2=1.4) Y,Delay (p1=1.4,p2=1.8) X,Delay (p1=1.4,p2=1.8) Y,Delay (p1=1.4,p2=2.2) X,Delay (p1=1.4,p2=2.2) Y,Delay (p1=1.4,p2=2.6) X,Delay (p1=1.4,p2=2.6) Y,Delay (p1=1.4,p2=3) X,Delay (p1=1.4,p2=3) Y,Delay (p1=1.4,p2=3.4) X,Delay (p1=1.4,p2=3.4) Y,Delay (p1=1.4,p2=3.8) X,Delay (p1=1.4,p2=3.8) Y,Delay (p1=1.8,p2=1) X,Delay (p1=1.8,p2=1) Y,Delay (p1=1.8,p2=1.4) X,Delay (p1=1.8,p2=1.4) Y,Delay (p1=1.8,p2=1.8) X,Delay (p1=1.8,p2=1.8) Y,Delay (p1=1.8,p2=2.2) X,Delay (p1=1.8,p2=2.2) Y,Delay (p1=1.8,p2=2.6) X,Delay (p1=1.8,p2=2.6) Y,Delay (p1=1.8,p2=3) X,Delay (p1=1.8,p2=3) Y,Delay (p1=1.8,p2=3.4) X,Delay (p1=1.8,p2=3.4) Y,Delay (p1=1.8,p2=3.8) X,Delay (p1=1.8,p2=3.8) Y,Delay (p1=2.2,p2=1) X,Delay (p1=2.2,p2=1) Y,Delay (p1=2.2,p2=1.4) X,Delay (p1=2.2,p2=1.4) Y,Delay (p1=2.2,p2=1.8) X,Delay (p1=2.2,p2=1.8) Y,Delay (p1=2.2,p2=2.2) X,Delay (p1=2.2,p2=2.2) Y,Delay (p1=2.2,p2=2.6) X,Delay (p1=2.2,p2=2.6) Y,Delay (p1=2.2,p2=3) X,Delay (p1=2.2,p2=3) Y,Delay (p1=2.2,p2=3.4) X,Delay (p1=2.2,p2=3.4) Y,Delay (p1=2.2,p2=3.8) X,Delay (p1=2.2,p2=3.8) Y,Delay (p1=2.6,p2=1) X,Delay (p1=2.6,p2=1) Y,Delay (p1=2.6,p2=1.4) X,Delay (p1=2.6,p2=1.4) Y,Delay (p1=2.6,p2=1.8) X,Delay (p1=2.6,p2=1.8) Y,Delay (p1=2.6,p2=2.2) X,Delay (p1=2.6,p2=2.2) Y,Delay (p1=2.6,p2=2.6) X,Delay (p1=2.6,p2=2.6) Y,Delay (p1=2.6,p2=3) X,Delay (p1=2.6,p2=3) Y,Delay (p1=2.6,p2=3.4) X,Delay (p1=2.6,p2=3.4) Y,Delay (p1=2.6,p2=3.8) X,Delay (p1=2.6,p2=3.8) Y,Delay (p1=3,p2=1) X,Delay (p1=3,p2=1) Y,Delay (p1=3,p2=1.4) X,Delay (p1=3,p2=1.4) Y,Delay (p1=3,p2=1.8) X,Delay (p1=3,p2=1.8) Y,Delay (p1=3,p2=2.2) X,Delay (p1=3,p2=2.2) Y,Delay (p1=3,p2=2.6) X,Delay (p1=3,p2=2.6) Y,Delay (p1=3,p2=3) X,Delay (p1=3,p2=3) Y,Delay (p1=3,p2=3.4) X,Delay (p1=3,p2=3.4) Y,Delay (p1=3,p2=3.8) X,Delay (p1=3,p2=3.8) Y
1,4.799306149179992e-10,1,4.610106983486668e-10,1,4.673829268839883e-10,1,4.734826847173975e-10,1,4.862234493641603e-10,1,4.926861575023023e-10,1,4.988436220395346e-10,1,5.053127026025792e-10,1,4.576003462293863e-10,1,4.616157697931722e-10,1,4.660198274805799e-10,1,4.709007070114968e-10,1,4.754052802569079e-10,1,4.798905627103863e-10,1,4.847477265434971e-10,1,4.889362603471952e-10,1,4.562581274470535e-10,1,4.59384556284457e-10,1,4.630254062368548e-10,1,4.663358576200433e-10,1,4.699767761537554e-10,1,4.73811088907907e-10,1,4.774026541228989e-10,1,4.809748085501119e-10,1,4.560136205835247e-10,1,4.584480743878128e-10,1,4.61314537294334e-10,1,4.642950318295674e-10,1,4.674129996721618e-10,1,4.70653924741713e-10,1,4.736603045149813e-10,1,4.763977184370912e-10,1,4.563636074568162e-10,1,4.583129981022118e-10,1,4.60665445626682e-10,1,4.632687639588762e-10,1,4.659324188348909e-10,1,4.685176193252289e-10,1,4.7096955354498e-10,1,4.736051106330918e-10,1,4.570253472136509e-10,1,4.586667445221671e-10,1,4.60721065384261e-10,1,4.62921703188381e-10,1,4.652188088135977e-10,1,4.675803194797973e-10,1,4.699269756569196e-10,1,4.72006622787917e-10
1.4,3.630771007177245e-10,1.4,3.45596508972536e-10,1.4,3.510496260678155e-10,1.4,3.572091855756927e-10,1.4,3.695520917971975e-10,1.4,3.757627267162987e-10,1.4,3.817857403322576e-10,1.4,3.88661989896135e-10,1.4,3.415839217101442e-10,1.4,3.456346050180454e-10,1.4,3.4981518680916e-10,1.4,3.539619771777772e-10,1.4,3.585262600329943e-10,1.4,3.624349594764549e-10,1.4,3.676781448555788e-10,1.4,3.714869782133193e-10,1.4,3.40677582042716e-10,1.4,3.427904178869424e-10,1.4,3.463483533729916e-10,1.4,3.498804007896236e-10,1.4,3.533655401641264e-10,1.4,3.568070361743503e-10,1.4,3.599289970894587e-10,1.4,3.638707814962207e-10,1.4,3.404685809417984e-10,1.4,3.422400196249772e-10,1.4,3.447315254888308e-10,1.4,3.475465869387042e-10,1.4,3.504735228312636e-10,1.4,3.535436035456869e-10,1.4,3.564329427823279e-10,1.4,3.591595959315473e-10,1.4,3.407928869565451e-10,1.4,3.422910209623867e-10,1.4,3.443470417770665e-10,1.4,3.466169704285189e-10,1.4,3.490430285615809e-10,1.4,3.514933434260861e-10,1.4,3.535418580245676e-10,1.4,3.565608269661041e-10,1.4,3.413918985605647e-10,1.4,3.42619004085735e-10,1.4,3.443722291703424e-10,1.4,3.463959569307211e-10,1.4,3.484952467254083e-10,1.4,3.506391107777938e-10,1.4,3.527532958331283e-10,1.4,3.551033069727585e-10
1.8,3.004081473546827e-10,1.8,2.84007813705449e-10,1.8,2.881033763771404e-10,1.8,2.946400553002641e-10,1.8,3.065503276836243e-10,1.8,3.124703358530341e-10,1.8,3.184616318311582e-10,1.8,3.248240468273822e-10,1.8,2.796673591643649e-10,1.8,2.830549125343592e-10,1.8,2.872029677585898e-10,1.8,2.908344266507752e-10,1.8,2.951881936472553e-10,1.8,2.994808965823648e-10,1.8,3.044651554405659e-10,1.8,3.082093276188738e-10,1.8,2.785570250003471e-10,1.8,2.80471600751543e-10,1.8,2.833902223838805e-10,1.8,2.869844730465546e-10,1.8,2.903373491101292e-10,1.8,2.936182717123769e-10,1.8,2.96504086139517e-10,1.8,3.005993423984768e-10,1.8,2.787688317953962e-10,1.8,2.800144677183052e-10,1.8,2.82109725543335e-10,1.8,2.846578471643231e-10,1.8,2.872347665140331e-10,1.8,2.903907318524804e-10,1.8,2.932412218553619e-10,1.8,2.957362094094427e-10,1.8,2.791191940865307e-10,1.8,2.799081804595182e-10,1.8,2.816783734927339e-10,1.8,2.838083259790233e-10,1.8,2.861158007485523e-10,1.8,2.883364974449313e-10,1.8,2.901942926927974e-10,1.8,2.932024055254584e-10,1.8,2.797320101736726e-10,1.8,2.801968860508808e-10,1.8,2.816532644622053e-10,1.8,2.835069458876959e-10,1.8,2.855097012354985e-10,1.8,2.87593340959537e-10,1.8,2.897003835980585e-10,1.8,2.913970911573649e-10
2.2,2.610387405475412e-10,2.2,2.45506929475504e-10,2.2,2.499842279735351e-10,2.2,2.55525377600781e-10,2.2,2.672197502497905e-10,2.2,2.732666129344609e-10,2.2,2.789827349231257e-10,2.2,2.853076530243371e-10,2.2,2.420894920254112e-10,2.2,2.446212067527862e-10,2.2,2.477376896936548e-10,2.2,2.520262082446909e-10,2.2,2.561075210950003e-10,2.2,2.605593155273962e-10,2.2,2.646807932584651e-10,2.2,2.68687696553362e-10,2.2,2.405160741609991e-10,2.2,2.418603330160397e-10,2.2,2.447580083429296e-10,2.2,2.476953648626129e-10,2.2,2.508830413635313e-10,2.2,2.536998662996407e-10,2.2,2.574100086669467e-10,2.2,2.607850213738949e-10,2.2,2.398508116044176e-10,2.2,2.407289450425222e-10,2.2,2.424757640297718e-10,2.2,2.449735103858601e-10,2.2,2.481665468250785e-10,2.2,2.507862005456321e-10,2.2,2.535016372154038e-10,2.2,2.562723095062369e-10,2.2,2.405977212052389e-10,2.2,2.408354683561923e-10,2.2,2.422903681696724e-10,2.2,2.441027343249556e-10,2.2,2.46289903561633e-10,2.2,2.485573210596083e-10,2.2,2.512889808078117e-10,2.2,2.537260939675637e-10,2.2,2.407944195689928e-10,2.2,2.411758510316194e-10,2.2,2.423861489679844e-10,2.2,2.439732657994572e-10,2.2,2.45731087447302e-10,2.2,2.476950193791378e-10,2.2,2.495623891569993e-10,2.2,2.520086516773386e-10
2.6,2.34426693861044e-10,2.6,2.20207483212678e-10,2.6,2.240675403437152e-10,2.6,2.286461834221846e-10,2.6,2.404606777113019e-10,2.6,2.465821841505163e-10,2.6,2.526928629022929e-10,2.6,2.584327436081176e-10,2.6,2.165766540921882e-10,2.6,2.182001103880917e-10,2.6,2.214946939818706e-10,2.6,2.253725159648475e-10,2.6,2.294512328281379e-10,2.6,2.333713863005629e-10,2.6,2.375199599256181e-10,2.6,2.420489559633147e-10,2.6,2.152889149362199e-10,2.6,2.160070334661559e-10,2.6,2.180071682923128e-10,2.6,2.20534545819371e-10,2.6,2.234995237906398e-10,2.6,2.272943779218227e-10,2.6,2.30546331336245e-10,2.6,2.33390096223618e-10,2.6,2.151003797429969e-10,2.6,2.151353605053808e-10,2.6,2.166676886399793e-10,2.6,2.188275091612567e-10,2.6,2.209488628436647e-10,2.6,2.23395488684012e-10,2.6,2.261728978282568e-10,2.6,2.290200775070921e-10,2.6,2.154306442334296e-10,2.6,2.147614406082529e-10,2.6,2.157087622955026e-10,2.6,2.176206805524892e-10,2.6,2.196974070430264e-10,2.6,2.219971511651554e-10,2.6,2.241184863134217e-10,2.6,2.26256921343611e-10,2.6,2.160100409662801e-10,2.6,2.147894892937832e-10,2.6,2.157695997753677e-10,2.6,2.171080227691523e-10,2.6,2.189598077328256e-10,2.6,2.20837381075443e-10,2.6,2.230137948552663e-10,2.6,2.249684546448219e-10
3,2.156910017917776e-10,3,2.021775066162967e-10,3,2.049851064311739e-10,3,2.102724998543516e-10,3,2.214336045307773e-10,3,2.26916324344965e-10,3,2.327907345093076e-10,3,2.389008361993996e-10,3,1.982460787437898e-10,3,1.995942157001366e-10,3,2.025189756145564e-10,3,2.058296131384472e-10,3,2.099575171979101e-10,3,2.142950351743297e-10,3,2.18455642517514e-10,3,2.224385313839881e-10,3,1.964947967071145e-10,3,1.970927098790422e-10,3,1.990153926168016e-10,3,2.017575555103409e-10,3,2.047372386587258e-10,3,2.075519088853238e-10,3,2.107722134897556e-10,3,2.142556808475991e-10,3,1.962588122467399e-10,3,1.95747432240662e-10,3,1.970492077792553e-10,3,1.990299377194079e-10,3,2.018260393532548e-10,3,2.043454865504228e-10,3,2.06922021980319e-10,3,2.096471098767955e-10,3,1.966435439902859e-10,3,1.960523422180024e-10,3,1.966917797839026e-10,3,1.98353315268595e-10,3,2.002308078439267e-10,3,2.019940903565143e-10,3,2.045689548832223e-10,3,2.069250099349981e-10,3,1.974597990555889e-10,3,1.964541526707193e-10,3,1.96927667200546e-10,3,1.981514386356711e-10,3,1.996936372721814e-10,3,2.01494726195482e-10,3,2.030887809447988e-10,3,2.0516904920946e-10
3.4,2.012934404778323e-10,3.4,1.88736399179919e-10,3.4,1.916398614788912e-10,3.4,1.958744552998835e-10,3.4,2.068626242582399e-10,3.4,2.127912056486623e-10,3.4,2.185931019325323e-10,3.4,2.245766896483259e-10,3.4,1.845916355327001e-10,3.4,1.855814470936533e-10,3.4,1.883425276216176e-10,3.4,1.919088578007938e-10,3.4,1.956531651448837e-10,3.4,1.995607021582343e-10,3.4,2.037235684251379e-10,3.4,2.078053026417751e-10,3.4,1.835894929543588e-10,3.4,1.832957140531089e-10,3.4,1.848590906277648e-10,3.4,1.870836245390641e-10,3.4,1.898468816116663e-10,3.4,1.932596884010259e-10,3.4,1.96399196922517e-10,3.4,1.993151584049447e-10,3.4,1.835946012136194e-10,3.4,1.824849388049908e-10,3.4,1.833966487998739e-10,3.4,1.851512147571688e-10,3.4,1.872082954367595e-10,3.4,1.895924917874735e-10,3.4,1.921974180348623e-10,3.4,1.948112080078697e-10,3.4,1.839364877993437e-10,3.4,1.823840680704982e-10,3.4,1.82803531815745e-10,3.4,1.841034492601733e-10,3.4,1.858531490678886e-10,3.4,1.878491985768833e-10,3.4,1.898893094379082e-10,3.4,1.920648206579173e-10,3.4,1.843961759091964e-10,3.4,1.825998772099757e-10,3.4,1.825090556156261e-10,3.4,1.835464190343912e-10,3.4,1.850448547622709e-10,3.4,1.86731197623109e-10,3.4,1.887270934728917e-10,3.4,1.905703227518196e-10
3.8,1.903915063653938e-10,3.8,1.786385589166035e-10,3.8,1.808586973944236e-10,3.8,1.853663227176604e-10,3.8,1.959560440852802e-10,3.8,2.014364622074953e-10,3.8,2.07108711515941e-10,3.8,2.131113216253601e-10,3.8,1.748964533134053e-10,3.8,1.750783791714186e-10,3.8,1.774270492958417e-10,3.8,1.805800697483432e-10,3.8,1.843687761440445e-10,3.8,1.884741620333598e-10,3.8,1.924710111185121e-10,3.8,1.96485968723811e-10,3.8,1.735671508817138e-10,3.8,1.727666144133916e-10,3.8,1.740063789620808e-10,3.8,1.763153210182377e-10,3.8,1.789819637752827e-10,3.8,1.816845449386999e-10,3.8,1.848247782468586e-10,3.8,1.881086145601435e-10,3.8,1.733886089585329e-10,3.8,1.718094101899925e-10,3.8,1.723820520224519e-10,3.8,1.738090905041054e-10,3.8,1.760547094983205e-10,3.8,1.783808107372109e-10,3.8,1.808609882980977e-10,3.8,1.833664083134112e-10,3.8,1.736596412067513e-10,3.8,1.715312994099769e-10,3.8,1.712934837324998e-10,3.8,1.725506746706227e-10,3.8,1.742078382340667e-10,3.8,1.763204934823218e-10,3.8,1.785238813202692e-10,3.8,1.806707133402543e-10,3.8,1.742985913166146e-10,3.8,1.716590474036303e-10,3.8,1.715827192049761e-10,3.8,1.723501129730359e-10,3.8,1.737366575904567e-10,3.8,1.753566967460805e-10,3.8,1.769303214708387e-10,3.8,1.790482412781585e-10
